"","partido","proMercado","fundamentalismo","microGap_proMercado","microGap_fundamentalismo","base","ano"
"67","PT",0,1,0.592857142857143,0.7090143745601,"Público","Out 2018-2019"
"68","PT",0.555555555555556,0.621275071185168,0.0373015873015873,0.330289445745268,"Público","Out 2018-2019"
"69","PT",0.333333333333333,0.889662319871393,0.25952380952381,0.598676694431493,"Público","Out 2018-2019"
"70","PT",0,0.599400289072046,0.592857142857143,0.308414663632146,"Público","Out 2018-2019"
"71","PSL",0.222222222222222,0.944831159935696,0.370634920634921,0.653845534495796,"Público","Out 2018-2019"
"72","PT",0.555555555555556,0.944831159935696,0.0373015873015873,0.653845534495796,"Público","Out 2018-2019"
"73","PT",1,0,0.407142857142857,0.2909856254399,"Público","Out 2018-2019"
"74","PT",0.333333333333333,0,0.25952380952381,0.2909856254399,"Público","Out 2018-2019"
"75","PSL",1,0.345430870863651,0.407142857142857,0.0544452454237508,"Público","Out 2018-2019"
"76","PT",1,0.455768550992258,0.407142857142857,0.164782925552358,"Público","Out 2018-2019"
"77","PT",1,0.510937391056561,0.407142857142857,0.219951765616661,"Público","Out 2018-2019"
"78","PT",0.555555555555556,0.566106231120865,0.0373015873015873,0.275120605680965,"Público","Out 2018-2019"
"79","PT",0.555555555555556,1,0.0373015873015873,0.7090143745601,"Público","Out 2018-2019"
"80","PT",0.666666666666667,0.889662319871393,0.0738095238095238,0.598676694431493,"Público","Out 2018-2019"
"81","MDB",0.444444444444444,0.275844200321517,0.148412698412698,0.0151414251183827,"Público","Out 2018-2019"
"82","PT",0.555555555555556,1,0.0373015873015873,0.7090143745601,"Público","Out 2018-2019"
"83","PT",0.444444444444444,1,0.148412698412698,0.7090143745601,"Público","Out 2018-2019"
"84","PT",0.111111111111111,1,0.481746031746032,0.7090143745601,"Público","Out 2018-2019"
"85","PT",1,0.779324639742786,0.407142857142857,0.488339014302886,"Público","Out 2018-2019"
"86","PT",0.444444444444444,0.0551688400643034,0.148412698412698,0.235816785375597,"Público","Out 2018-2019"
"87","PT",0.444444444444444,1,0.148412698412698,0.7090143745601,"Público","Out 2018-2019"
"88","PSL",0.555555555555556,0.433893768879135,0.0373015873015873,0.142908143439235,"Público","Out 2018-2019"
"89","PT",0,0.510937391056561,0.592857142857143,0.219951765616661,"Público","Out 2018-2019"
"90","PT",0.444444444444444,0,0.148412698412698,0.2909856254399,"Público","Out 2018-2019"
"91","PT",0.444444444444444,0.779324639742786,0.148412698412698,0.488339014302886,"Público","Out 2018-2019"
"92","PT",0.333333333333333,0.889662319871393,0.25952380952381,0.598676694431493,"Público","Out 2018-2019"
"93","PT",0,1,0.592857142857143,0.7090143745601,"Público","Out 2018-2019"
"94","PT",1,0.455768550992258,0.407142857142857,0.164782925552358,"Público","Out 2018-2019"
"95","PSL",0.555555555555556,1,0.0373015873015873,0.7090143745601,"Público","Out 2018-2019"
"96","PT",1,0.889662319871393,0.407142857142857,0.598676694431493,"Público","Out 2018-2019"
"97","PT",1,0.566106231120865,0.407142857142857,0.275120605680965,"Público","Out 2018-2019"
"98","PT",0,0.345430870863651,0.592857142857143,0.0544452454237508,"Público","Out 2018-2019"
"99","PT",0,0.566106231120865,0.592857142857143,0.275120605680965,"Público","Out 2018-2019"
"100","PT",0.111111111111111,0.944831159935696,0.481746031746032,0.653845534495796,"Público","Out 2018-2019"
"101","PT",1,0.455768550992258,0.407142857142857,0.164782925552358,"Público","Out 2018-2019"
"102","PT",0.444444444444444,0.944831159935696,0.148412698412698,0.653845534495796,"Público","Out 2018-2019"
"103","PT",0.444444444444444,0.889662319871393,0.148412698412698,0.598676694431493,"Público","Out 2018-2019"
"104","PT",0.666666666666667,0.944831159935696,0.0738095238095238,0.653845534495796,"Público","Out 2018-2019"
"105","PT",1,0.889662319871393,0.407142857142857,0.598676694431493,"Público","Out 2018-2019"
"106","PT",0.666666666666667,0.889662319871393,0.0738095238095238,0.598676694431493,"Público","Out 2018-2019"
"107","MDB",0.444444444444444,1,0.148412698412698,0.7090143745601,"Público","Out 2018-2019"
"108","PT",0,1,0.592857142857143,0.7090143745601,"Público","Out 2018-2019"
"109","PT",0,0.400599710927954,0.592857142857143,0.109614085488054,"Público","Out 2018-2019"
"110","PT",0.333333333333333,0.433893768879135,0.25952380952381,0.142908143439235,"Público","Out 2018-2019"
"111","PSL",0.777777777777778,0.378724928814832,0.184920634920635,0.0877393033749318,"Público","Out 2018-2019"
"112","PT",0.666666666666667,0.220675360257214,0.0738095238095238,0.0703102651826862,"Público","Out 2018-2019"
"113","PT",0.444444444444444,0.400599710927954,0.148412698412698,0.109614085488054,"Público","Out 2018-2019"
"114","PT",0.444444444444444,0.779324639742786,0.148412698412698,0.488339014302886,"Público","Out 2018-2019"
"115","PSL",0,0.779324639742786,0.592857142857143,0.488339014302886,"Público","Out 2018-2019"
"116","PT",0,0.345430870863651,0.592857142857143,0.0544452454237508,"Público","Out 2018-2019"
"117","PSL",0,0.345430870863651,0.592857142857143,0.0544452454237508,"Público","Out 2018-2019"
"118","PSL",0.555555555555556,0.944831159935696,0.0373015873015873,0.653845534495796,"Público","Out 2018-2019"
"119","PT",0.111111111111111,0.220675360257214,0.481746031746032,0.0703102651826862,"Público","Out 2018-2019"
"120","PT",1,0.944831159935696,0.407142857142857,0.653845534495796,"Público","Out 2018-2019"
"121","PT",0.444444444444444,0.621275071185168,0.148412698412698,0.330289445745268,"Público","Out 2018-2019"
"122","MDB",0.444444444444444,0.83449347980709,0.148412698412698,0.54350785436719,"Público","Out 2018-2019"
"123","PT",0.333333333333333,0.621275071185168,0.25952380952381,0.330289445745268,"Público","Out 2018-2019"
"124","PT",0.444444444444444,0.400599710927954,0.148412698412698,0.109614085488054,"Público","Out 2018-2019"
"125","MDB",0.555555555555556,0.455768550992258,0.0373015873015873,0.164782925552358,"Público","Out 2018-2019"
"126","PSL",0.444444444444444,0.889662319871393,0.148412698412698,0.598676694431493,"Público","Out 2018-2019"
"127","PSL",0,0.944831159935696,0.592857142857143,0.653845534495796,"Público","Out 2018-2019"
"128","PT",0,0.220675360257214,0.592857142857143,0.0703102651826862,"Público","Out 2018-2019"
"129","PT",0,0.621275071185168,0.592857142857143,0.330289445745268,"Público","Out 2018-2019"
"130","PT",0.666666666666667,0.400599710927954,0.0738095238095238,0.109614085488054,"Público","Out 2018-2019"
"131","PT",0.444444444444444,0.944831159935696,0.148412698412698,0.653845534495796,"Público","Out 2018-2019"
"132","PT",0.111111111111111,0.724155799678483,0.481746031746032,0.433170174238583,"Público","Out 2018-2019"
"133","PT",0.444444444444444,0.724155799678483,0.148412698412698,0.433170174238583,"Público","Out 2018-2019"
"134","PT",0.444444444444444,0.400599710927954,0.148412698412698,0.109614085488054,"Público","Out 2018-2019"
"135","PT",0,0.889662319871393,0.592857142857143,0.598676694431493,"Público","Out 2018-2019"
"136","PT",0,0.944831159935696,0.592857142857143,0.653845534495796,"Público","Out 2018-2019"
"137","PSL",0,0.889662319871393,0.592857142857143,0.598676694431493,"Público","Out 2018-2019"
"138","PT",1,1,0.407142857142857,0.7090143745601,"Público","Out 2018-2019"
"139","PT",0,0.510937391056561,0.592857142857143,0.219951765616661,"Público","Out 2018-2019"
"140","PT",1,0.566106231120865,0.407142857142857,0.275120605680965,"Público","Out 2018-2019"
"141","PT",0,0.16550652019291,0.592857142857143,0.12547910524699,"Público","Out 2018-2019"
"142","PT",0,0,0.592857142857143,0.2909856254399,"Público","Out 2018-2019"
"143","PSL",1,0.779324639742786,0.407142857142857,0.488339014302886,"Público","Out 2018-2019"
"144","PSL",0.888888888888889,0.345430870863651,0.296031746031746,0.0544452454237508,"Público","Out 2018-2019"
