"","E179WVS","E036","F118","F120","F028","F121"
"284",76002,5,9,1,1,9
"285",4,4,5,5,7,5
"286",76015,8,2,2,1,6
"287",4,1,1,1,8,10
"288",4,5,5,1,1,1
"289",76003,3,6,3,7,3
"290",4,5,5,1,2,5
"291",4,10,1,1,7,5
"292",-1,-1,1,1,2,-1
"293",-1,1,4,-1,2,7
"294",-1,3,-1,1,6,9
"295",-1,-1,-1,2,2,7
"296",-1,3,-1,1,2,7
"297",-1,-1,-1,5,3,5
"298",4,10,5,1,2,5
"299",76002,7,1,1,1,6
"300",4,10,10,8,7,9
"301",4,1,1,3,1,5
"302",4,8,1,1,2,7
"303",4,6,8,1,2,8
"304",-1,10,1,10,8,10
"305",76002,1,1,5,2,5
"306",4,10,4,1,2,10
"307",76001,1,1,5,7,10
"308",4,9,5,1,1,8
"309",4,2,10,1,2,2
"310",76001,1,1,1,7,1
"311",-1,8,5,1,1,8
"312",4,5,1,1,1,1
"313",4,7,5,1,7,8
"314",76029,5,6,1,7,10
"315",4,5,5,1,3,5
"316",4,2,5,5,7,5
"317",76003,5,4,1,2,3
"318",76002,5,1,5,1,5
"319",76004,3,5,5,1,5
"320",76029,3,2,1,2,8
"321",4,1,5,1,4,6
"322",4,1,10,1,3,10
"323",-1,6,1,1,7,10
"324",4,10,1,1,8,10
"325",4,5,6,2,8,4
"326",76002,10,5,1,7,5
"327",76002,7,3,5,7,4
"328",4,1,1,1,1,1
"329",76001,10,1,1,1,1
"330",-1,9,3,1,7,10
"331",-1,3,4,1,7,8
"332",4,8,2,2,2,2
"333",76004,5,1,1,1,1
"334",4,1,7,1,2,8
"335",4,5,5,1,1,5
"336",76015,3,1,1,2,5
"337",-2,9,10,5,7,1
"338",76002,4,6,1,3,8
"339",76002,5,1,1,1,1
"340",-1,1,5,1,1,5
"341",76002,1,5,6,3,7
"342",4,1,1,5,7,10
"343",4,5,5,1,7,5
"344",4,1,1,1,2,5
"345",4,5,1,1,4,10
"346",76002,10,3,1,6,10
"347",76002,9,1,1,1,10
"348",76002,10,10,1,1,10
"349",76002,10,3,4,1,10
"350",4,10,1,1,7,5
"351",4,1,1,4,7,10
"352",4,10,10,1,3,10
"353",4,9,10,10,7,10
"354",4,10,1,1,2,10
"355",4,1,5,5,8,5
"356",76010,8,1,2,7,10
"357",76025,9,1,5,1,5
"358",76015,10,1,1,7,9
"359",76002,-1,1,-1,7,1
"360",76004,6,1,1,7,10
"361",4,10,1,9,1,1
"362",76002,10,1,1,7,10
"363",-1,1,1,1,7,10
"364",76012,5,1,1,8,10
"365",4,1,1,1,1,1
"366",4,1,7,1,8,1
"367",76002,10,5,1,2,5
"368",4,10,1,1,8,8
"369",4,5,5,1,8,5
"370",-1,1,5,1,3,10
"371",4,4,7,1,8,6
"372",-1,-1,1,1,1,1
"373",76002,1,1,7,3,8
"374",76004,10,5,1,8,5
"375",76004,4,8,1,3,8
"376",76001,2,1,1,3,8
"377",4,1,5,5,2,5
"378",4,1,7,1,7,1
"379",4,7,2,1,8,10
"380",4,1,10,1,7,10
"381",4,5,1,1,2,9
"382",4,6,6,5,4,5
"383",4,10,-1,10,7,10
"384",4,1,1,1,2,5
"385",4,1,1,1,3,4
"386",4,1,1,1,7,7
"387",4,1,5,5,7,5
"388",76001,1,1,1,8,1
"389",4,1,5,1,2,5
"390",4,1,6,1,7,5
"391",76001,5,1,1,2,1
"392",76001,5,1,1,7,2
"393",4,1,1,1,3,1
"394",4,3,1,1,3,1
"395",4,1,1,1,1,1
"396",4,1,1,1,2,1
"397",76004,1,1,1,3,1
"398",76002,1,5,1,3,10
"399",4,1,1,2,3,2
"400",4,1,-2,1,7,5
"401",4,2,2,10,7,5
"402",4,2,1,1,1,2
"403",4,9,10,5,7,9
"404",-2,6,1,1,7,10
"405",4,6,2,1,1,10
"406",76002,6,1,1,2,10
"407",76002,1,3,1,4,10
"408",5,5,6,1,3,5
"409",76004,2,1,1,3,1
"410",76002,5,10,10,2,10
"411",4,3,10,1,3,10
"412",76012,4,10,1,3,8
"413",76002,3,1,1,3,10
"414",4,1,5,2,1,5
"415",76003,1,-1,10,8,10
"416",-1,5,5,5,8,5
"417",76003,8,10,5,8,10
"418",4,5,-1,2,8,5
"419",4,8,2,1,7,5
"420",76002,5,10,9,7,10
"421",76002,2,6,1,4,3
"422",76003,1,5,1,2,6
"423",-1,2,10,10,3,10
"424",76002,8,10,10,7,10
"425",4,2,10,8,7,10
"426",4,1,7,2,3,10
"427",76002,10,9,7,8,10
"428",4,9,5,4,3,4
"429",4,5,5,1,1,10
"430",4,1,5,5,3,5
"431",4,5,10,1,6,10
"432",4,5,10,1,3,10
"433",4,1,8,5,2,10
"434",4,5,5,5,7,10
"435",4,1,5,5,3,10
"436",4,1,10,1,7,10
"437",4,1,1,1,1,10
"438",4,5,1,1,7,1
"439",76002,5,5,1,1,5
"440",-1,1,1,1,1,10
"441",4,5,2,2,6,6
"442",4,5,5,5,4,8
"443",-1,5,10,10,7,10
"444",4,1,7,1,3,10
"445",4,1,10,1,7,10
"446",4,5,1,1,3,10
"447",-1,3,-2,1,2,10
"448",-1,6,-2,1,-1,5
"449",4,4,5,1,2,10
"450",4,4,1,1,8,1
"451",4,10,1,1,1,1
"452",4,10,1,1,2,10
"453",-1,9,3,3,7,3
"454",4,1,10,1,1,10
"455",4,5,1,1,1,1
"456",76015,1,1,1,1,5
"457",-1,1,1,1,8,1
"458",76003,1,5,5,8,5
"459",4,1,1,1,4,1
"460",4,1,5,10,8,10
"461",4,1,1,1,7,6
"462",4,1,10,10,7,10
"463",4,1,6,9,2,8
"464",4,1,1,5,7,5
"465",4,4,1,1,4,1
"466",4,1,1,1,1,1
"467",4,5,1,1,7,1
"468",4,4,1,1,7,1
"469",4,5,1,1,7,1
"470",4,1,1,1,7,10
"471",4,1,5,5,4,10
"472",-1,1,5,5,8,10
"473",4,1,10,1,8,10
"474",4,1,5,1,8,5
"475",-1,1,10,1,8,1
"476",4,1,5,5,2,10
"477",4,1,1,1,8,10
"478",4,1,5,1,8,10
"479",76003,8,5,1,2,5
"480",76002,1,5,1,2,10
"481",4,6,-1,1,2,10
"482",4,5,9,1,8,10
"483",76029,5,5,1,7,10
"484",4,2,5,1,2,9
"485",76002,3,1,1,4,-1
"486",4,6,8,1,1,1
"487",-1,6,1,2,1,2
"488",76029,5,1,1,1,1
"489",4,3,1,1,1,1
"490",5,1,9,1,1,5
"491",4,1,5,7,7,6
"492",-1,1,7,5,7,6
"493",-1,9,5,2,7,5
"494",-1,5,10,1,7,1
"495",-1,5,8,1,2,7
