"","partido","microGap","Dimensão","Período"
"188","PT",0.00423035603416538,"Liberal / Fundamentalismo adaptado","2017-2018"
"189","PT",0.254356106703872,"Liberal / Fundamentalismo adaptado","2017-2018"
"190","PT",0.435390401123511,"Liberal / Fundamentalismo adaptado","2017-2018"
"191","PT",0.0830537491320204,"Liberal / Fundamentalismo adaptado","2017-2018"
"192","PSDB",0.33910114607794,"Liberal / Fundamentalismo adaptado","2017-2018"
"193","PT",0.496441839815903,"Liberal / Fundamentalismo adaptado","2017-2018"
"194","PT",0.201722184218883,"Liberal / Fundamentalismo adaptado","2017-2018"
"195","PT",0.271032146604471,"Liberal / Fundamentalismo adaptado","2017-2018"
"196","PT",0.552076100799977,"Liberal / Fundamentalismo adaptado","2017-2018"
"197","PT",0.489041926697188,"Liberal / Fundamentalismo adaptado","2017-2018"
"198","PT",0.331224974722382,"Liberal / Fundamentalismo adaptado","2017-2018"
"199","PT",0.224688997932157,"Liberal / Fundamentalismo adaptado","2017-2018"
"200","PT",0.0533866403603048,"Liberal / Fundamentalismo adaptado","2017-2018"
"201","PT",0.317390280806661,"Liberal / Fundamentalismo adaptado","2017-2018"
"202","PT",0.0389823912616872,"Liberal / Fundamentalismo adaptado","2017-2018"
"203","PT",0.194264625559781,"Liberal / Fundamentalismo adaptado","2017-2018"
"204","PT",0.354364005751038,"Liberal / Fundamentalismo adaptado","2017-2018"
"205","PT",0.115296689627178,"Liberal / Fundamentalismo adaptado","2017-2018"
"206","PT",0.219462116028306,"Liberal / Fundamentalismo adaptado","2017-2018"
"207","PT",0.378632015303521,"Liberal / Fundamentalismo adaptado","2017-2018"
"208","PT",0.156352217896045,"Liberal / Fundamentalismo adaptado","2017-2018"
"209","PT",0.615110274902766,"Liberal / Fundamentalismo adaptado","2017-2018"
"210","PT",0.630373134575864,"Liberal / Fundamentalismo adaptado","2017-2018"
"211","PT",0.186979284216061,"Liberal / Fundamentalismo adaptado","2017-2018"
"212","PT",0.363369155630423,"Liberal / Fundamentalismo adaptado","2017-2018"
"213","PT",0.569321695883471,"Liberal / Fundamentalismo adaptado","2017-2018"
"214","PT",0.554058836210373,"Liberal / Fundamentalismo adaptado","2017-2018"
"215","PT",0.320884956031674,"Liberal / Fundamentalismo adaptado","2017-2018"
"216","PSDB",0.104592397087918,"Liberal / Fundamentalismo adaptado","2017-2018"
"217","PSDB",0.33984777226413,"Liberal / Fundamentalismo adaptado","2017-2018"
"218","PT",0.0873600268055978,"Liberal / Fundamentalismo adaptado","2017-2018"
"219","PSDB",0.47377906702409,"Liberal / Fundamentalismo adaptado","2017-2018"
"220","PSDB",0.247523988039352,"Liberal / Fundamentalismo adaptado","2017-2018"
"221","PT",0.599847415229667,"Liberal / Fundamentalismo adaptado","2017-2018"
"222","PT",0.33984777226413,"Liberal / Fundamentalismo adaptado","2017-2018"
"223","PT",0.645635994248962,"Liberal / Fundamentalismo adaptado","2017-2018"
"224","PT",0.554058836210373,"Liberal / Fundamentalismo adaptado","2017-2018"
"225","PT",0.108682250440174,"Liberal / Fundamentalismo adaptado","2017-2018"
"226","PT",0.208679512072869,"Liberal / Fundamentalismo adaptado","2017-2018"
"227","PT",0.489041926697188,"Liberal / Fundamentalismo adaptado","2017-2018"
"228","PSDB",0.317184999472317,"Liberal / Fundamentalismo adaptado","2017-2018"
"229","PT",0.201722184218883,"Liberal / Fundamentalismo adaptado","2017-2018"
"230","PT",0.0493373954822722,"Liberal / Fundamentalismo adaptado","2017-2018"
"231","PT",0.630373134575864,"Liberal / Fundamentalismo adaptado","2017-2018"
"232","PT",0.0850775985891462,"Liberal / Fundamentalismo adaptado","2017-2018"
"233","PSDB",0.645635994248962,"Liberal / Fundamentalismo adaptado","2017-2018"
"234","PT",0.209980707912078,"Liberal / Fundamentalismo adaptado","2017-2018"
"235","PT",0.554058836210373,"Liberal / Fundamentalismo adaptado","2017-2018"
"236","PSDB",0.0194799909060888,"Liberal / Fundamentalismo adaptado","2017-2018"
"237","PT",0.412727628331698,"Liberal / Fundamentalismo adaptado","2017-2018"
"238","PT",0.33910114607794,"Liberal / Fundamentalismo adaptado","2017-2018"
"239","PSDB",0.615110274902766,"Liberal / Fundamentalismo adaptado","2017-2018"
"240","PT",0.066028420912747,"Liberal / Fundamentalismo adaptado","2017-2018"
"241","PT",0.630373134575864,"Liberal / Fundamentalismo adaptado","2017-2018"
"242","PMDB",0.3974647686586,"Liberal / Fundamentalismo adaptado","2017-2018"
"243","PT",0.22250356857412,"Liberal / Fundamentalismo adaptado","2017-2018"
"244","PT",0.367344437207685,"Liberal / Fundamentalismo adaptado","2017-2018"
"245","PMDB",0.110753108023216,"Liberal / Fundamentalismo adaptado","2017-2018"
"246","PT",0.393516870754387,"Liberal / Fundamentalismo adaptado","2017-2018"
"247","PT",0.439189117269985,"Liberal / Fundamentalismo adaptado","2017-2018"
"248","PT",0.3974647686586,"Liberal / Fundamentalismo adaptado","2017-2018"
"249","PT",0.121445002419304,"Liberal / Fundamentalismo adaptado","2017-2018"
